23843.287030    0.04107	5120150413065319579868824416384423005301910090002867052 088498+1234510642a0688
23843.297120    0.00904	5120150413070750767767224411564444807001910052001125101 088491+1264510642a0633
23843.304640   -0.00547	5120150413071840649726124433030087488401910157001550165 088497+1304410642a0633
23843.314060    0.08915	5120150413073215088629124439824570758101910078001391121 088496+1344510642a0613
23843.322320    0.06201	5120150413074408615986624415462881795301910105002911067 088500+1394610642a0693
23843.332060    0.03978	5120150413075809682733224417583010027301910057002986028 088492+1394610642a0649
23843.349520   -0.00039	5120150413082318725130124442790643398401910036002236035 088509+1434710642a0618
23843.364080    0.05796	5120150413084416385801624431476287623301910053002888031 088515+1424910642a0668
23843.373080   -0.01273	5120150413085713915745224456170020995401910035002409052 088519+1445010642a0677
23843.383570    0.08969	5120150413091220130716324470010350733101910057001531173 088519+1484910642a0631
23843.390880    0.02948	5120150413092252081297724450740580949301910057002505128 088520+1494810642a0675
23843.398430   -0.00004	5120150413093344518323424476329776609401910015002110029 088509+1485010642a0662
23843.408720    0.03944	5120150413094833597659824467047694127301910046002999060 088515+1455110642a0566
23844.182930    0.05516	5120150414042325286466924252151153674301910015003751057 088204+1233410642a0579
23844.193030    0.04446	5120150414043757373883324236276372575301910019002786058 088208+1213310642a0753
23844.203680    0.02039	5120150414045318106674924220410958039301910051002468094 088211+1223210642a0704
23844.221130    0.01488	5120150414051825555403424196562473437301910055002668057 088221+1223210642a0684
23844.243750   -0.03397	5120150414055100408463224166627790098001910020002779012 088235+1233510642a0628
23844.280050    0.09707	5120150414064316228062624155811234849401910026002923018 088248+1473010642a0737
23844.297170   -0.02816	5120150414070755134806024145755266893401910092001553377 088255+1612710642a0367
23844.306520    0.01703	5120150414072123248420124123756742164301910098002194102 088252+1662710642a0717
23844.319180   -0.02695	5120150414073936867374224137634874674401910052001680182 088258+1692710642a0370
23844.324880   -0.01454	5120150414074749271841224115393808282001910048001361120 088259+1722610642a0512
23844.332420    0.04607	5120150414075840723033024103361022744201910067001604128 088269+1742610642a0665
23844.340950    0.06181	5120150414081058411038924143267151953101910032002265038 088278+1712810642a0617
23844.351960   -0.03096	5120150414082649741681324114585838610001910020002096045 088288+1732910642a0592
23844.362910    0.02062	5120150414084235049751324119607409385301910027002707053 088292+1753210642a0644
23844.374920    0.02622	5120150414085952873976024123257067951301910025002676061 088305+1723710642a0610
23844.381310    0.05595	5120150414090905226338524125825384185301910025002756072 088313+1703910642a0513
23844.401110    0.02590	5120150414093736240879624136456415057301910044002593086 088315+1714110642a0513
23844.407580    0.04065	5120150414094655164512624126526892604201910031001594097 088317+1684010642a0539
23845.203620    0.03734	5120150415045312390572924028392135482301910045002188181 088015+1123610642a0322
23845.209590    0.05515	5120150415050148872755424046124289945101910031001665100 088021+1113610642a0346
23845.215930    0.02302	5120150415051056121990224008104075554301910022002892026 088027+1113810642a0389
23845.230730    0.00914	5120150415053215138613123985215437867301910029003279025 088032+1113910642a0578
23845.239750   -0.02052	5120150415054514741972723988738390401401910031001330184 088041+1183810642a0475
23845.247870    0.04231	5120150415055656321998423949458073905201910027001742077 088051+1263710642a0572
23845.257730    0.02293	5120150415061107559381123948211015404301910081002527167 088057+1353710642a0594
23845.275370    0.00812	5120150415063632188100423927671102797301910069002137205 088071+1473510642a0466
23845.285790    0.04787	5120150415065132366017923944556147057101910099001552293 088076+1553410642a0757
23845.294420   -0.02747	5120150415070358228698123905977147257001910061001291240 088069+1583310642a0685
23845.304130    0.03673	5120150415071756874961423889381149179201910069001287181 088065+1563110642a0722
23845.312970   -0.06096	5120150415073040951572823911272100629401910104001587287 088063+1573010642a0684
23845.322190   -0.00168	5120150415074357042119023888749242488301910242001808618 088065+1603110642a0680
23845.330410   -0.02757	5120150415075547167321523881414653398001910081001362253 088065+1622810642a0656
23845.338930    0.04512	5120150415080803398995423869009480541201910106001609304 088073+1642510642a0643
23845.349420   -0.04695	5120150415082310076311223894038501015401910069001715213 088082+1662810642a0684
23845.356280    0.02263	5120150415083302263293423903024838408101910031002001091 088084+1662710642a0639
23845.370120   -0.00988	5120150415085258715259023874118510368301910106002115248 088084+1652710642a0660
23845.378000   -0.04353	5120150415090419180359823871320684924001910048001391156 088092+1652610642a0647
23850.418970    0.00731	5120150420100318779726824253795275944301910061002712042 087595+1056410642a0684
23850.478190    0.01703	5120150420112835772278724211722432670301910044002823057 087580+1077310642a0351
23850.562420   -0.01163	5120150420132953370167324213377088026301910020003017088 087586+0997510642a0163
23850.596980    0.05439	5120150420141939421193724236569839085301910023002709018 087560+1156610642a0649
23850.670730    0.01285	5120150420160551471285024326712878178301910044003271022 087545+1136710642a0854
23851.411350    0.00297	5120150421095220233038924659834195157301910027002862043 088166+1403810642a0542
23851.444750    0.04614	5120150421104026714768724656355227214101910024001286060 088179+1375210642a0568
23851.463750   -0.01208	5120150421110748038633324614661049129401910058001565133 088173+1395010642a0660
23851.485990    0.00521	5120150421113949883211124588689414109301910052003139032 088153+1443710642a0675
23851.495230    0.11051	5120150421115307780210324587411248204201910039002286101 088153+1444010642a0655
23851.510540    0.01959	5120150421121510295551224575278397936301910038002863042 088145+1484310642a0794
23851.520020    0.04500	5120150421122850125749924604803819128101910055001074254 088142+1483610642a0697
23851.532990   -0.01293	5120150421124730594457724577470600993401910051001714130 088141+1493610642a0784
23851.552260    0.03212	5120150421131515155248624566206338436301910019003353022 088128+1533910642a0655
23851.583910   -0.01959	5120150421140049863210124571665052862301910017003399026 088098+1484810642a0574
23851.613000   -0.00674	5120150421144243111288224586332259714301910077002624140 088075+1503910642a0657
