date_julian,date_julian_year,residual_m,sigma_m,elongation_rad,cos_elong_rad,station,reflector,residual_corrected_m
2458010.6784693,2017.70185882,-0.0259515938313,87.571,4.922438052575304,0.2085078937145598,Grasse,5,-0.0259515938313
2458010.6868862,2017.70188188,0.00251153139756,87.558,4.92437824062994,0.2104050441261705,Grasse,5,0.00251153139756
2458010.6868862,2017.70188188,0.00251153139756,87.558,4.92437824062994,0.2104050441261705,Grasse,5,0.00251153139756
2458010.6875359,2017.70188366,0.0274746718852,87.558,4.924528001586264,0.2105514502184237,Grasse,5,0.0274746718852
2458010.69494905,2017.70190397,0.0147650355083,87.561,4.926236770436128,0.2122216050102381,Grasse,5,0.0147650355083
2458010.6957776,2017.70190624,-0.000415533498069,87.561,4.926427753124344,0.2124082335405626,Grasse,5,-0.000415533498069
2458010.7190208,2017.70196992,0.0163234773128,87.548,4.9317851682092595,0.2176403245727238,Grasse,5,0.0163234773128
2458010.72757275,2017.70199335,0.010261208102,1750.999,4.93375624460875,0.2195637283535144,Grasse,5,0.010261208102
2458010.7373438,2017.70202012,-0.0194527802022,1408.211,4.936008238929682,0.2217602112554887,Grasse,5,-0.0194527802022
2458010.74914425,2017.70205245,0.000889092966775,87.521,4.938727870548823,0.2244113040106164,Grasse,5,0.000889092966775
2458010.7568202,2017.70207348,-0.0097062286885,87.508,4.94049688098873,0.226134842952349,Grasse,5,-0.0097062286885
2458010.7652371,2017.70209654,0.00874713091538,87.503,4.942436602610627,0.2280238914377088,Grasse,5,0.00874713091538
2458010.7652371,2017.70209654,0.00874713091538,87.503,4.942436602610627,0.2280238914377088,Grasse,5,0.00874713091538
2458010.7653028,2017.70209672,0.0083077254741,87.503,4.942451743374251,0.2280386332999105,Grasse,5,0.0083077254741
2458010.7653028,2017.70209672,0.0083077254741,87.503,4.942451743374251,0.2280386332999105,Grasse,5,0.0083077254741
2458010.77401535,2017.70212059,0.0065405669658,87.503,4.944459544142056,0.2299930717475624,Grasse,5,0.0065405669658
2458010.7787859,2017.70213366,0.000211745783547,87.501,4.945558890378651,0.23106280780692,Grasse,5,0.000211745783547
2458010.7994011003,2017.70219014,-0.0212830004246,87.49,4.950309352017951,0.2356820918625818,Grasse,5,-0.0212830004246
2458010.80640545,2017.70220933,-0.0105822977574,87.491,4.951923326403361,0.2372502932773135,Grasse,5,-0.0105822977574
2458010.80640545,2017.70220933,-0.0105822977574,87.491,4.951923326403361,0.2372502932773135,Grasse,5,-0.0105822977574
2458010.8068398,2017.70221052,0.0112430158107,87.491,4.952023410046548,0.2373475181996393,Grasse,5,0.0112430158107
2458010.8068398,2017.70221052,0.0112430158107,87.491,4.952023410046548,0.2373475181996393,Grasse,5,0.0112430158107
2458010.81631885,2017.70223649,-0.00885829301192,87.492,4.954207554094748,0.2394686820919282,Grasse,5,-0.00885829301192
2458010.81631885,2017.70223649,-0.00885829301192,87.492,4.954207554094748,0.2394686820919282,Grasse,5,-0.00885829301192
2458010.81645025,2017.70223685,-0.0163560804875,87.492,4.954237830507732,0.2394980774753382,Grasse,5,-0.0163560804875
2458010.81645025,2017.70223685,-0.0163560804875,87.492,4.954237830507732,0.2394980774753382,Grasse,5,-0.0163560804875
2458010.82308595,2017.70225503,0.0057317319362,87.483,4.955766774267522,0.2409822436259441,Grasse,5,0.0057317319362
2458010.82308595,2017.70225503,0.0057317319362,2.446,4.955766774267522,0.2409822436259441,Grasse,5,0.0057317319362
2458010.82394735,2017.70225739,-0.0144512352498,2.446,4.955965248498938,0.2411748639797662,Grasse,5,-0.0144512352498
2458010.83194815,2017.70227931,0.0299564900844,2.028,4.9578086773401004,0.2429634670956335,Grasse,5,0.0299564900844
2458010.8329154,2017.70228196,-0.00169846387221,1707.391,4.958031533845639,0.2431796397687202,Grasse,5,-0.00169846387221
2458010.84080305,2017.70230357,-0.00600430341079,87.477,4.959848838255131,0.2449419884744178,Grasse,5,-0.00600430341079
2458010.84080305,2017.70230357,-0.00600430341079,1543.276,4.959848838255131,0.2449419884744178,Grasse,5,-0.00600430341079
2458010.8409819,2017.70230406,-0.0150937733205,87.477,4.959890044460872,0.2449819392378959,Grasse,5,-0.0150937733205
2458010.8409819,2017.70230406,-0.0150937733205,1543.276,4.959890044460872,0.2449819392378959,Grasse,5,-0.0150937733205
2458010.8484498,2017.70232452,-0.00448402734115,87.471,4.961610593782902,0.2466496959340595,Grasse,5,-0.00448402734115
2458010.8484498,2017.70232452,-0.00448402734115,87.471,4.961610593782902,0.2466496959340595,Grasse,5,-0.00448402734115
2458010.84870895,2017.70232523,0.00615242151902,87.471,4.961670299218118,0.2467075563125313,Grasse,5,0.00615242151902
2458010.84870895,2017.70232523,0.00615242151902,87.471,4.961670299218118,0.2467075563125313,Grasse,5,0.00615242151902
2458010.8573704,2017.70234896,-0.0106026825459,1.522,4.963665777494788,0.2486408618380948,Grasse,5,-0.0106026825459
